key,answer_A_label,answer_B_label,winner,winner_raw,model
82308a2b5f05cab0a6347be48d24461191444716,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
9ede0e64c3cc3fff9c8c2c25808bcb8c9e72768a,stage3_det_cleaned_v4,stage2_det_cleaned_v2,TIE,TIE,gpt-4o-mini
05e2c3ee58182b6913b18cd9b4bda7f884c4afdf,stage3_det_cleaned_v4,stage2_det_cleaned_v2,TIE,TIE,gpt-4o-mini
db3ca37c83853ccddf5acc16676bbd252121ad74,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
e2dda4eb234cb0cdd88452ce2dcfcaec9d43799b,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
2cc01f82e1e4c48c3a3cc951324b34ae6274c455,stage3_det_cleaned_v4,stage2_det_cleaned_v2,TIE,TIE,gpt-4o-mini
88c521894d709f9fc62be64fac6358321e1c0ef2,stage2_det_cleaned_v2,stage3_det_cleaned_v4,TIE,TIE,gpt-4o-mini
6c0ebef3b54bded8fc4a57d75b48b7ba2a39371a,stage3_det_cleaned_v4,stage2_det_cleaned_v2,TIE,TIE,gpt-4o-mini
379a07ec3372cdf74b872bab1b7c8ce21155c450,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
e2bceb2b85bd31cd9a2188a47c6b95bacb054736,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
84267b6373dfb154d87909b91542412639dcad2a,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
88fd489e4e5a94cfd5a7291a5990a785f4253a54,stage3_det_cleaned_v4,stage2_det_cleaned_v2,TIE,TIE,gpt-4o-mini
a90ce0e4daaad560fc2669d416f1ec5f5e05205d,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
df4eca1a3e4d0e9d03fc59b47fe3a662b0fbc6fe,stage3_det_cleaned_v4,stage2_det_cleaned_v2,TIE,TIE,gpt-4o-mini
8e570c85efee070ca2fe40229dcc59ce1589cfe6,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
48092797881e0853a98513e039709aa1ac559666,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage3_det_cleaned_v4,A,gpt-4o-mini
797d1a0f99f414d149a471ff5792cf66b5cfd652,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
48eafb741f21549638afc12ee42c351ae74f3242,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
97b51ff6a8e9851ac90c9e938bfc5a7144395858,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
b3b562dcd28e6761f8dc0a0687e3299b8de849d1,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
48e7eb982e7dffb323694b1340101ef625949bf6,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
00396d932825b141aec9f335d76dff79de68b630,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
9c446471f641ee85d8d84f1a6a96b872e41f5600,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage3_det_cleaned_v4,A,gpt-4o-mini
afee90d09c85a899335f3ec3f35ff4e9b3d98a59,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
19cf9d5b9c19dc86c9e377ea92382376a393cf92,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
81960c65f5b708d6f07d10ac0da888dd22226492,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
b3cf1534507c51739b8e49d6f1ca425c4a90c312,stage2_det_cleaned_v2,stage3_det_cleaned_v4,TIE,TIE,gpt-4o-mini
b6300e3afc5a0474d6033ea826e41a391b32a395,stage2_det_cleaned_v2,stage3_det_cleaned_v4,TIE,TIE,gpt-4o-mini
8dbad951468f149f41fd7737b30530cc3e75c963,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
fd18f3ea0a1714a0a1334b5f6080266ee666772f,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
fd49a07b1ac74c9b0b7095b3406a60659faaa248,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage3_det_cleaned_v4,A,gpt-4o-mini
ca843e4af3683e5c5bc23562cfeb4228107d0684,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
d5af7d214cd728e92050b294285faffce7000bb6,stage2_det_cleaned_v2,stage3_det_cleaned_v4,TIE,TIE,gpt-4o-mini
256dcd1abb81e6478a31e272868a00cb7a6b65c3,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
c8572debc03b339747f4bbe4994b50b67ff40d9e,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
e8c35c5ef5c63a40b8c28c42a8d9219d326ec551,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage3_det_cleaned_v4,A,gpt-4o-mini
bce1e0dfbc5c70cd7889d4a35b7dcb2532845a00,stage2_det_cleaned_v2,stage3_det_cleaned_v4,TIE,TIE,gpt-4o-mini
ffa7daffe48da4302387c5b441e1b1d2e0ec66e1,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
7682f7d8caaadb0c211cb2cdba38dd02cccf493c,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
3eb4877e4fecda49a9cab466394e92187ee30bde,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
5c0635aaf112d69a062fb21c76035da775d93026,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
bf78aa5b57309f80b5f1dfe16b6b1b10ffa027c6,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
e5ad55f1ef425df645c819bd2d887bf85f19c513,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
4392c0933581836fc250492e8549743bcf4a56d5,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
19d3f7213589b7130f60f85bc468d5c6037ea6c2,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
a31882c0d114559aa2f7ccc52c390e9ba1a16854,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
0bfa9e423e63ad02fdc49d3b70fd1240ac16860a,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage3_det_cleaned_v4,A,gpt-4o-mini
5027a3bbfaf26f5fe19c54ae8a5f77b12cdc7bab,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage3_det_cleaned_v4,A,gpt-4o-mini
f6831f1584f97c8a51161676dda91166b2fcd948,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
8d827ee42fc8a233d39f7b79e55b87ab58f38c0c,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
1bc89ea91666bddc1d6b5b45cb31f230c2e80bb6,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
77353336a1712b42704d2a1cbb7e37452d4ff37e,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
17ab7a29fca55d2c15ab2dc60d3c04ca48f2fece,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
1e53ed7748eef0fde5df3e17b5cee479277decc4,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
e6d4d6ee922c31a2cb49c7cc6e09578d3f5c436d,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
8ef0c1440c73693afe86e824c4d0a33d569dfec9,stage2_det_cleaned_v2,stage3_det_cleaned_v4,TIE,TIE,gpt-4o-mini
b8f5af34e612f1decf29a5d1363884ed3559c5ab,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
329fb2b0a606aece9cb7cdc87fc06c39813d4f46,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage3_det_cleaned_v4,A,gpt-4o-mini
837ad7dc1004f33eeb913654ee8a3d40fb0df4b0,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage2_det_cleaned_v2,A,gpt-4o-mini
bc748c822e1c7db9adbb0219fa6c4d44535dbded,stage3_det_cleaned_v4,stage2_det_cleaned_v2,TIE,TIE,gpt-4o-mini
685f91b05761729be45e4b2aa2a2b3dd4ecd61ca,stage3_det_cleaned_v4,stage2_det_cleaned_v2,TIE,TIE,gpt-4o-mini
a420dfd934c32ab9452394f8a90be56668a67767,stage2_det_cleaned_v2,stage3_det_cleaned_v4,stage3_det_cleaned_v4,B,gpt-4o-mini
808de12e5c1970493813c2b0e93f2fd5d379e383,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage2_det_cleaned_v2,B,gpt-4o-mini
1170afc800a260d2bdfe7d5ff03ea8c518804940,stage3_det_cleaned_v4,stage2_det_cleaned_v2,stage3_det_cleaned_v4,A,gpt-4o-mini
